Company,Category,Theme,Tactic_ID,Tactic_Name,Score,Confidence,Evidence,Source
Aviva,Competitor,Emotional Design,30,Options to pace work,3,Medium,"Multiple investment approaches from automated to self-directed. Users can choose engagement level.",aviva.co.uk
Aviva,Competitor,Emotional Design,31,Predictable updates and change notices,1,Low,"No evidence of proactive change communication. Some users surprised by fee changes.",Extensive search conducted
Aviva,Competitor,Emotional Design,32,Clear separation of safe vs dangerous actions,1,Low,"No specific evidence of warning systems for high-risk actions.",Extensive search conducted
Aviva,Competitor,Social Proof & Belonging,33,Social proof (awards ratings user numbers),5,High,"Defaqto top-rated platform. Which? #1 of 25 providers. 79% customer satisfaction. Awards prominently displayed.",Which?; Defaqto; IFA Magazine
Aviva,Competitor,Social Proof & Belonging,34,Case studies from peer organizations,1,Low,"No evidence of customer case studies on consumer platform.",Extensive search conducted
Aviva,Competitor,Social Proof & Belonging,35,Peer benchmarks (firms like you),1,Low,"No evidence of peer comparison features.",Extensive search conducted
Aviva,Competitor,Social Proof & Belonging,36,Community spaces (forums events),1,Low,"No consumer community forums or events found.",Extensive search conducted
Aviva,Competitor,Social Proof & Belonging,37,Champion/advocate programs,1,Low,"No evidence of customer advocacy programs.",Extensive search conducted
Aviva,Competitor,Social Proof & Belonging,38,Shared workspaces for teams,1,Low,"Consumer platform is individual-focused. No shared workspace features.",Extensive search conducted
Aviva,Competitor,Social Proof & Belonging,39,Activity visibility for accountability,1,Low,"No evidence of activity sharing or social features.",Extensive search conducted
Aviva,Competitor,Social Proof & Belonging,40,Named human contacts (support BDMs),3,Medium,"Financial advice services for £300k+ clients with dedicated contacts. General users get standard support channels.",aviva.co.uk
Aviva,Competitor,Social Proof & Belonging,41,Professional profiles visible to clients,1,Low,"Not applicable to B2C investment platform.",Not applicable
Aviva,Competitor,Social Proof & Belonging,42,Firm branding in client-facing views,1,Low,"Not applicable to B2C investment platform.",Not applicable
Aviva,Competitor,Social Proof & Belonging,43,Status indicators (badges certifications),1,Low,"No evidence of customer status or achievement systems.",Extensive search conducted
Aviva,Competitor,Decision Support,44,Clear layered explanations,3,High,"Articles section with investment guidance. FAQ-style content. Risk level explanations for fund choices.",aviva.co.uk
Aviva,Competitor,Decision Support,45,Visualizations of complex info,3,Medium,"Investment calculators with growth projections. Performance charts. Compound interest visualizations.",aviva.co.uk
Aviva,Competitor,Decision Support,46,In-context definitions/glossaries,1,Low,"No evidence of inline glossaries or tooltips with definitions.",Extensive search conducted
Aviva,Competitor,Decision Support,47,Time-anchored reminders,1,Low,"No evidence of proactive reminder systems.",Extensive search conducted
Aviva,Competitor,Decision Support,48,Side-by-side comparisons,3,Medium,"Fund selection tools allow comparison. Experts' Shortlist curates options. Basic comparison available.",aviva.co.uk
Aviva,Competitor,Decision Support,49,Scenario tools (what-if analysis),5,High,"Multiple calculators: investment growth, compound interest, ISA, pension, annuity. Projection tools available.",aviva.co.uk
Aviva,Competitor,Decision Support,50,Transparent cost breakdowns,3,Medium,"Fees displayed but some users note platform 'starts to become more expensive than competitors for £25k+'. Pricing could be clearer.",Which?
Aviva,Competitor,Decision Support,51,Recommendations / next-best-actions,3,Medium,"Risk profiler suggests appropriate funds. Ready-made portfolios recommended based on risk appetite.",aviva.co.uk
Aviva,Competitor,Decision Support,52,Highlighting of risks/anomalies,3,Medium,"Risk levels clearly labeled on funds. Risk profiler tool assesses suitability.",aviva.co.uk
Aviva,Competitor,Decision Support,53,AI assistants for drafting/summarizing,1,Low,"No evidence of AI assistants in consumer platform.",Extensive search conducted
Aviva,Competitor,Decision Support,54,Data provenance (source freshness),1,Low,"No evidence of data source transparency features.",Extensive search conducted
Aviva,Competitor,Decision Support,55,Clear what happens next signposting,3,Medium,"Account opening process has defined steps. 'Everything was explained so you understood what was being offered'.",Trustpilot
Aviva,Competitor,Decision Support,56,Activity logs (audit trail),1,Low,"No evidence of customer-facing activity logs.",Extensive search conducted
Aviva,Competitor,Service Orchestration,57,Consistent state across channels,3,Medium,"Web and app available. Some users report disconnect between policy and investment sites.",Smart Money People
Aviva,Competitor,Service Orchestration,58,Clear journey architecture,3,Medium,"Clear pathways from discovery through account opening. Product categories well organized.",aviva.co.uk
Aviva,Competitor,Service Orchestration,59,Smooth hand-offs between teams,3,Medium,"Some complaints about being 'passed between' teams with 'no one taking ownership' in complex cases.",Trustpilot
Aviva,Competitor,Service Orchestration,60,Multi-modal support options,3,High,"Phone support, web chat available. Some users report difficulty getting through on phone.",Trustpilot
Aviva,Competitor,Service Orchestration,61,Visible SLAs and response times,1,Low,"No published response time commitments found.",Extensive search conducted
Aviva,Competitor,Service Orchestration,62,Proactive service (outbound notifications),1,Low,"No evidence of proactive outbound communications.",Extensive search conducted
Aviva,Competitor,Service Orchestration,63,Structured training paths,1,Low,"Articles available but no structured learning paths.",aviva.co.uk
Aviva,Competitor,Service Orchestration,64,Searchable knowledge base,3,Medium,"Articles section with investment guidance. FAQ content available.",aviva.co.uk
Aviva,Competitor,Service Orchestration,65,Migration/switching support,3,Medium,"Account transfer functionality available. Transfer support mentioned.",aviva.co.uk
Aviva,Competitor,Service Orchestration,66,Data export and portability,1,Low,"No evidence of data export features for customers.",Extensive search conducted
Aviva,Competitor,Service Orchestration,67,Integration with other tools (APIs),1,Low,"No consumer-facing API or integration options.",Extensive search conducted
Aviva,Competitor,Service Orchestration,68,Clean exit/closure flows,1,Low,"Some bereavement complaints suggest exit processes need improvement.",Trustpilot
Transact,Competitor,Ease of Use,1,Clear navigation and findability,5,High,"Platform described as 'reliable and powerful' with straightforward administration. 'Very user friendly platform' with 'comfortingly simple' interface.",Trustpilot; IFA Magazine
Transact,Competitor,Ease of Use,2,Single workspace for key tasks,5,High,"Comprehensive wrap service consolidating multiple wrappers and asset types. Single view across ISAs, pensions, investments.",comparetheplatform.co.uk
Transact,Competitor,Ease of Use,3,Progressive disclosure (simple → advanced),3,Medium,"Primarily adviser-focused platform. Tools range from basic viewing to advanced portfolio management.",transact-online.co.uk
Transact,Competitor,Ease of Use,4,Smart defaults and pre-filling,3,Medium,"Bulk dealing service and rebalancing reports suggest automated defaults. Adviser-configured settings persist.",transact-online.co.uk
Transact,Competitor,Ease of Use,5,Low-click flows for common tasks,5,High,"'Makes client reporting and administration straightforward'. Help provided 'typically within 12 seconds'. Efficient workflows praised.",Trustpilot; IFA Magazine
Transact,Competitor,Ease of Use,6,Templates for repetitive work,5,High,"Bulk dealing service available. Rebalancing reports. Model portfolio functionality for advisers.",transact-online.co.uk
Transact,Competitor,Ease of Use,7,Inline validation and helpful constraints,3,Medium,"Professional platform likely has validation. 170+ trained service staff handle queries across all types.",transact-online.co.uk
Transact,Competitor,Ease of Use,8,Contextual help (tooltips videos),5,High,"'Help provided typically within 12 seconds'. Ongoing training and support rated #1. Technical support resources available.",IFA Magazine; Investment Trends
Transact,Competitor,Ease of Use,9,Drafts and autosave,1,Low,"No specific evidence of draft functionality.",Extensive search conducted
Transact,Competitor,Ease of Use,10,Undo/redo capabilities,1,Low,"No evidence found.",Extensive search conducted
Transact,Competitor,Ease of Use,11,Keyboard shortcuts,1,Low,"No evidence of keyboard shortcuts.",Extensive search conducted
Transact,Competitor,Ease of Use,12,Robust search with filters,5,High,"'Good choice of stocks and shares to invest in with lots of detailed information'. Performance analysis, CGT calculator, fund information tools.",Trustpilot; transact-online.co.uk
Transact,Competitor,Ease of Use,13,Bulk actions,5,High,"Bulk dealing service explicitly offered. Portfolio management tools for multiple transactions.",transact-online.co.uk
Transact,Competitor,Ease of Use,14,Saved workflows,5,High,"Model portfolios, saved rebalancing configurations. 'Complete history of all investments' accessible.",transact-online.co.uk; Trustpilot
Transact,Competitor,Ease of Use,15,Fast feedback on actions,5,High,"Help in 12 seconds. Fast, secure service. Platform rated #1 for overall service by Investment Trends.",IFA Magazine; Investment Trends
Transact,Competitor,Ease of Use,16,Reliable performance at scale,5,High,"£77.2bn funds under direction, 249,000 clients. 'Platform is reliable and powerful'. Own and develop their technology.",transact-online.co.uk; Trustpilot
Transact,Competitor,Ease of Use,17,Works on poor connections,1,Low,"No evidence of offline or low-bandwidth features.",Extensive search conducted
Transact,Competitor,Ease of Use,18,Strong WCAG support,1,Low,"No evidence of accessibility features mentioned.",Extensive search conducted
Transact,Competitor,Ease of Use,19,Security without burden (MFA SSO),3,Medium,"'Very safe and secure' platform. FCA regulated. Security features present but not detailed.",Trustpilot
Transact,Competitor,Ease of Use,20,Consistent across devices,3,Medium,"Web-based platform. No mobile app prominently featured for end clients.",transact-online.co.uk
Transact,Competitor,Emotional Design,21,Clean calm design with clear hierarchy,3,Medium,"'Comfortingly simple' interface praised. Professional design for adviser market.",Trustpilot
Transact,Competitor,Emotional Design,22,Gentle purposeful animation,1,Low,"No evidence of animations mentioned.",Extensive search conducted
Transact,Competitor,Emotional Design,23,Dark mode / theme controls,1,Low,"No evidence of theme options.",Extensive search conducted
Transact,Competitor,Emotional Design,24,Friendly human language,3,Medium,"Communication described as clear and professional. Adviser-focused tone.",Trustpilot
Transact,Competitor,Emotional Design,25,Avoids blame in errors,1,Low,"No evidence of error messaging approach.",Extensive search conducted
Transact,Competitor,Emotional Design,26,Supportive service interactions,5,High,"170+ trained service staff. Specific team members praised by name. 'Resolved without any fuss always on time'.",Trustpilot; transact-online.co.uk
Transact,Competitor,Emotional Design,27,Visual celebration of progress,1,Low,"No evidence of gamification or progress celebrations.",Extensive search conducted
Transact,Competitor,Emotional Design,28,Clear sense of completion,3,Medium,"Transaction confirmations and reporting. Clear workflow completion status.",transact-online.co.uk
Transact,Competitor,Emotional Design,29,Onboarding that builds confidence,3,Medium,"Adviser training and support available. Client onboarding via advisers.",transact-online.co.uk
Transact,Competitor,Emotional Design,30,Options to pace work,3,Medium,"Flexible platform allows advisers to work at own pace.",transact-online.co.uk
Transact,Competitor,Emotional Design,31,Predictable updates and change notices,3,Medium,"Constantly-evolving page shows platform updates. Communication about changes.",transact-online.co.uk
Transact,Competitor,Emotional Design,32,Clear separation of safe vs dangerous actions,1,Low,"No evidence of specific warning systems.",Extensive search conducted
Transact,Competitor,Social Proof & Belonging,33,Social proof (awards ratings user numbers),5,High,"#1 wrap platform in UK by advisers. Best Platform for Advisers 2024. Best Platform 2025. £77.2bn FUD.",IFA Magazine; transact-online.co.uk
Transact,Competitor,Social Proof & Belonging,34,Case studies from peer organizations,1,Low,"No client case studies found on public site.",Extensive search conducted
Transact,Competitor,Social Proof & Belonging,35,Peer benchmarks (firms like you),1,Low,"No peer comparison features evident.",Extensive search conducted
Transact,Competitor,Social Proof & Belonging,36,Community spaces (forums events),3,Medium,"Adviser community through IntegraFin group. Industry event participation.",transact-online.co.uk
Transact,Competitor,Social Proof & Belonging,37,Champion/advocate programs,1,Low,"No formal advocacy program evident.",Extensive search conducted
Transact,Competitor,Social Proof & Belonging,38,Shared workspaces for teams,5,High,"Adviser teams can share client portfolios. Firm-level access and permissions.",transact-online.co.uk
Transact,Competitor,Social Proof & Belonging,39,Activity visibility for accountability,3,Medium,"Comprehensive reporting shows all activity. Audit trails for compliance.",transact-online.co.uk
Transact,Competitor,Social Proof & Belonging,40,Named human contacts (support BDMs),5,High,"Regional service teams allocated to advisers. Named contacts for ongoing relationship.",transact-online.co.uk
Transact,Competitor,Social Proof & Belonging,41,Professional profiles visible to clients,3,Medium,"Adviser platform - adviser profiles visible to their clients.",transact-online.co.uk
Transact,Competitor,Social Proof & Belonging,42,Firm branding in client-facing views,3,Medium,"Client reporting can include adviser firm branding.",transact-online.co.uk
Transact,Competitor,Social Proof & Belonging,43,Status indicators (badges certifications),1,Low,"No evidence of status badge systems.",Extensive search conducted
Transact,Competitor,Decision Support,44,Clear layered explanations,3,Medium,"Fund information available. Adviser-focused content.",transact-online.co.uk
Transact,Competitor,Decision Support,45,Visualizations of complex info,5,High,"Performance analysis charts. 'Complete history as summary graphs plotting deposits and values against time'.",Trustpilot
Transact,Competitor,Decision Support,46,In-context definitions/glossaries,1,Low,"No evidence of inline glossaries.",Extensive search conducted
Transact,Competitor,Decision Support,47,Time-anchored reminders,1,Low,"No evidence of reminder systems.",Extensive search conducted
Transact,Competitor,Decision Support,48,Side-by-side comparisons,3,Medium,"Fund comparison tools available. Performance comparison charts.",transact-online.co.uk
Transact,Competitor,Decision Support,49,Scenario tools (what-if analysis),3,Medium,"CGT calculator available. Rebalancing reports show impact.",transact-online.co.uk
Transact,Competitor,Decision Support,50,Transparent cost breakdowns,3,Medium,"Fee information available. Platform charges disclosed.",transact-online.co.uk
Transact,Competitor,Decision Support,51,Recommendations / next-best-actions,1,Low,"Adviser-driven recommendations rather than platform-generated.",Extensive search conducted
Transact,Competitor,Decision Support,52,Highlighting of risks/anomalies,3,Medium,"Risk profiling capability mentioned. Fund risk indicators.",transact-online.co.uk
Transact,Competitor,Decision Support,53,AI assistants for drafting/summarizing,5,High,"Building 'best AI-ready ecosystem'. Curo CRM with Microsoft Copilot integration. AI tools for advisers.",Money Marketing
Transact,Competitor,Decision Support,54,Data provenance (source freshness),3,Medium,"Real-time data feeds. Transaction history with timestamps.",transact-online.co.uk
Transact,Competitor,Decision Support,55,Clear what happens next signposting,3,Medium,"Transaction status tracking. Transfer progress visibility.",transact-online.co.uk
Transact,Competitor,Decision Support,56,Activity logs (audit trail),5,High,"Complete activity history. Compliance audit trails. Full transaction records.",transact-online.co.uk
Transact,Competitor,Service Orchestration,57,Consistent state across channels,3,Medium,"Web-based platform primarily. Curo CRM integrates with Teams/Office.",transact-online.co.uk; Money Marketing
Transact,Competitor,Service Orchestration,58,Clear journey architecture,3,Medium,"Adviser-client journey well structured. Onboarding to ongoing service.",transact-online.co.uk
Transact,Competitor,Service Orchestration,59,Smooth hand-offs between teams,5,High,"Regional teams with allocated advisers. Consistent contacts across query types.",transact-online.co.uk
Transact,Competitor,Service Orchestration,60,Multi-modal support options,5,High,"Phone (12 second response), email, dedicated teams. Multiple contact channels.",transact-online.co.uk; Trustpilot
Transact,Competitor,Service Orchestration,61,Visible SLAs and response times,5,High,"'Help typically within 12 seconds' publicly stated. Clear service standards.",transact-online.co.uk
Transact,Competitor,Service Orchestration,62,Proactive service (outbound notifications),3,Medium,"Platform updates communicated. Adviser notifications likely.",transact-online.co.uk
Transact,Competitor,Service Orchestration,63,Structured training paths,5,High,"Ongoing training and support rated #1 in industry survey.",Investment Trends; IFA Magazine
Transact,Competitor,Service Orchestration,64,Searchable knowledge base,3,Medium,"Technical support resources available. Documentation for advisers.",transact-online.co.uk
Transact,Competitor,Service Orchestration,65,Migration/switching support,5,High,"Gold Standard award for pension and ISA transfers. Transfer expertise.",STAR industry group
Transact,Competitor,Service Orchestration,66,Data export and portability,5,High,"Comprehensive reporting and data export for advisers. API integrations.",transact-online.co.uk
Transact,Competitor,Service Orchestration,67,Integration with other tools (APIs),5,High,"Curo CRM on Microsoft Power Platform. Teams/Office integration. AI-ready ecosystem.",Money Marketing; transact-online.co.uk
Transact,Competitor,Service Orchestration,68,Clean exit/closure flows,3,Medium,"Transfer-out support available. Some complaints about process delays.",Trustpilot
Quilter,Competitor,Ease of Use,1,Clear navigation and findability,5,High,"'Excellent, easy to use, informative & good to look at'. 'Easy to use and navigate' consistently praised. 4.8/5 rating from 29,562 reviews.",App Store; Trustpilot
Quilter,Competitor,Ease of Use,2,Single workspace for key tasks,5,High,"View valuations, performance, transactions, documents all in one app. CashHub integrated. Comprehensive dashboard.",App Store
Quilter,Competitor,Ease of Use,3,Progressive disclosure (simple → advanced),3,Medium,"Main platform for advisers, Quilter Invest for beginners. Different products for different expertise levels.",quilter.com; quilterinvest.com
Quilter,Competitor,Ease of Use,4,Smart defaults and pre-filling,3,Medium,"Ready-made portfolios on Quilter Invest. Pre-configured options for novice investors.",quilterinvest.com
Quilter,Competitor,Ease of Use,5,Low-click flows for common tasks,5,High,"'Super Easy to use'. Simple instructions like switches and ISA top-ups directly in app. Fingerprint login.",App Store
Quilter,Competitor,Ease of Use,6,Templates for repetitive work,3,Medium,"Regular investment setup. Model portfolios via advisers.",quilter.com
Quilter,Competitor,Ease of Use,7,Inline validation and helpful constraints,3,Medium,"App supports simple instructions with validation. ISA limits enforced.",App Store
Quilter,Competitor,Ease of Use,8,Contextual help (tooltips videos),3,Medium,"'Helpful guides for beginner investors' on Quilter Invest. In-app guidance.",quilterinvest.com
Quilter,Competitor,Ease of Use,9,Drafts and autosave,1,Low,"No evidence of draft functionality.",Extensive search conducted
Quilter,Competitor,Ease of Use,10,Undo/redo capabilities,1,Low,"No evidence found.",Extensive search conducted
Quilter,Competitor,Ease of Use,11,Keyboard shortcuts,1,Low,"Mobile-focused app. No keyboard shortcuts.",Extensive search conducted
Quilter,Competitor,Ease of Use,12,Robust search with filters,3,Medium,"Fund selection tools. Fractional shares and ETF search on Quilter Invest.",quilterinvest.com
Quilter,Competitor,Ease of Use,13,Bulk actions,1,Low,"No evidence of bulk actions for consumers.",Extensive search conducted
Quilter,Competitor,Ease of Use,14,Saved workflows,3,Medium,"Regular investment schedules can be saved. Recurring contributions.",quilter.com
Quilter,Competitor,Ease of Use,15,Fast feedback on actions,3,Medium,"Some users note transactions 'can take hours to show'. Fixed 3pm trading window on Quilter Invest.",Money To The Masses
Quilter,Competitor,Ease of Use,16,Reliable performance at scale,5,High,"Most recommended adviser platform. Large scale operations. App highly rated.",IFA Magazine
Quilter,Competitor,Ease of Use,17,Works on poor connections,1,Low,"No evidence of offline capabilities.",Extensive search conducted
Quilter,Competitor,Ease of Use,18,Strong WCAG support,5,High,"App is 'totally accessible for the blind' using VoiceOver. No unlabeled buttons. Multiple accessibility improvements made.",App Store
Quilter,Competitor,Ease of Use,19,Security without burden (MFA SSO),5,High,"Fingerprint authentication praised. 'Very safe and secure' with quick access.",App Store
Quilter,Competitor,Ease of Use,20,Consistent across devices,5,High,"Web platform and highly-rated mobile app. Consistent experience. Documents accessible on all devices.",App Store; quilter.com
Quilter,Competitor,Emotional Design,21,Clean calm design with clear hierarchy,5,High,"'Good to look at'. 'Fine example of what an app should be like'. 'Super interface' praised.",App Store
Quilter,Competitor,Emotional Design,22,Gentle purposeful animation,1,Low,"No evidence of notable animations.",Extensive search conducted
Quilter,Competitor,Emotional Design,23,Dark mode / theme controls,1,Low,"No evidence of dark mode.",Extensive search conducted
Quilter,Competitor,Emotional Design,24,Friendly human language,3,Medium,"Professional tone. Beginner-friendly content on Quilter Invest.",quilterinvest.com
Quilter,Competitor,Emotional Design,25,Avoids blame in errors,1,Low,"No evidence of error messaging tone.",Extensive search conducted
Quilter,Competitor,Emotional Design,26,Supportive service interactions,3,Medium,"Customer service available. No specific service interaction praise found.",quilter.com
Quilter,Competitor,Emotional Design,27,Visual celebration of progress,1,Low,"No evidence of progress celebrations.",Extensive search conducted
Quilter,Competitor,Emotional Design,28,Clear sense of completion,3,Medium,"Transaction confirmations. Investment setup completion clear.",quilter.com
Quilter,Competitor,Emotional Design,29,Onboarding that builds confidence,3,Medium,"'Helpful guides for beginner investors'. Quilter Invest aimed at novices.",quilterinvest.com
Quilter,Competitor,Emotional Design,30,Options to pace work,3,Medium,"Multiple product tiers allow users to choose engagement level.",quilter.com
Quilter,Competitor,Emotional Design,31,Predictable updates and change notices,1,Low,"Some users surprised by fee changes and feature removals (round-ups removed).",Money To The Masses
Quilter,Competitor,Emotional Design,32,Clear separation of safe vs dangerous actions,1,Low,"No evidence of specific warning systems.",Extensive search conducted
Quilter,Competitor,Social Proof & Belonging,33,Social proof (awards ratings user numbers),5,High,"Most recommended adviser platform 2025. Gold Standard award. 29,562 app ratings.",IFA Magazine; STAR
Quilter,Competitor,Social Proof & Belonging,34,Case studies from peer organizations,1,Low,"No consumer case studies found.",Extensive search conducted
Quilter,Competitor,Social Proof & Belonging,35,Peer benchmarks (firms like you),1,Low,"No peer comparison features.",Extensive search conducted
Quilter,Competitor,Social Proof & Belonging,36,Community spaces (forums events),1,Low,"No consumer community found.",Extensive search conducted
Quilter,Competitor,Social Proof & Belonging,37,Champion/advocate programs,1,Low,"No advocacy program evident.",Extensive search conducted
Quilter,Competitor,Social Proof & Belonging,38,Shared workspaces for teams,1,Low,"Consumer platform is individual-focused.",Extensive search conducted
Quilter,Competitor,Social Proof & Belonging,39,Activity visibility for accountability,1,Low,"No social features.",Extensive search conducted
Quilter,Competitor,Social Proof & Belonging,40,Named human contacts (support BDMs),3,Medium,"Adviser relationships through platform. Support available.",quilter.com
Quilter,Competitor,Social Proof & Belonging,41,Professional profiles visible to clients,1,Low,"Not applicable to B2C platform.",Not applicable
Quilter,Competitor,Social Proof & Belonging,42,Firm branding in client-facing views,1,Low,"Not applicable to B2C platform.",Not applicable
Quilter,Competitor,Social Proof & Belonging,43,Status indicators (badges certifications),1,Low,"No status systems evident.",Extensive search conducted
Quilter,Competitor,Decision Support,44,Clear layered explanations,3,Medium,"Educational content on Quilter Invest. Fund information available.",quilterinvest.com
Quilter,Competitor,Decision Support,45,Visualizations of complex info,5,High,"'Customizable time ranges, performance graphs'. Visual performance tracking praised.",App Store
Quilter,Competitor,Decision Support,46,In-context definitions/glossaries,1,Low,"No evidence of inline definitions.",Extensive search conducted
Quilter,Competitor,Decision Support,47,Time-anchored reminders,1,Low,"No evidence of reminder systems.",Extensive search conducted
Quilter,Competitor,Decision Support,48,Side-by-side comparisons,1,Low,"No comparison tools evident.",Extensive search conducted
Quilter,Competitor,Decision Support,49,Scenario tools (what-if analysis),1,Low,"No scenario calculators found.",Extensive search conducted
Quilter,Competitor,Decision Support,50,Transparent cost breakdowns,3,Medium,"Fee information available. Some complaints about fee increases.",quilter.com; Money To The Masses
Quilter,Competitor,Decision Support,51,Recommendations / next-best-actions,1,Low,"No automated recommendations evident.",Extensive search conducted
Quilter,Competitor,Decision Support,52,Highlighting of risks/anomalies,3,Medium,"Risk levels on funds. Basic risk information.",quilter.com
Quilter,Competitor,Decision Support,53,AI assistants for drafting/summarizing,1,Low,"No AI features evident in consumer platform.",Extensive search conducted
Quilter,Competitor,Decision Support,54,Data provenance (source freshness),1,Low,"Some complaints about prices not being up-to-date.",Money To The Masses
Quilter,Competitor,Decision Support,55,Clear what happens next signposting,3,Medium,"Transaction status visible. Basic journey signposting.",App Store
Quilter,Competitor,Decision Support,56,Activity logs (audit trail),5,High,"Transaction history. Document access. 'Check transactions' feature.",App Store
Quilter,Competitor,Service Orchestration,57,Consistent state across channels,5,High,"App and web synchronized. Documents accessible everywhere. Go paperless feature.",App Store
Quilter,Competitor,Service Orchestration,58,Clear journey architecture,3,Medium,"Account types clearly differentiated. ISA, pension, general accounts.",quilter.com
Quilter,Competitor,Service Orchestration,59,Smooth hand-offs between teams,3,Medium,"Adviser coordination. No specific complaints or praise.",quilter.com
Quilter,Competitor,Service Orchestration,60,Multi-modal support options,3,Medium,"Phone and digital support available.",quilter.com
Quilter,Competitor,Service Orchestration,61,Visible SLAs and response times,1,Low,"No published response times.",Extensive search conducted
